algorithm,depth,nodes,timeMs,winner,durationMs,boardSize
minimax,4,2800,6.200000047683716,0,6.200000047683716,default
minimax,4,2800,5.200000047683716,0,5.200000047683716,default
minimax,4,2774,4.399999976158142,0,4.399999976158142,default
minimax,4,2222,3,0,3,default
minimax,4,2539,5.300000071525574,0,5.300000071525574,default
minimax,4,1343,2.5,0,2.5,default
minimax,4,1360,2.6999999284744263,0,2.6999999284744263,default
minimax,4,740,1.399999976158142,0,1.399999976158142,default
minimax,4,749,1.7999999523162842,0,1.7999999523162842,default
minimax,4,624,1,0,1,default
minimax,4,280,0.7000000476837158,0,0.7000000476837158,default
minimax,4,312,0.6999999284744263,0,0.6999999284744263,default
minimax,4,161,0.2999999523162842,0,0.2999999523162842,default
minimax,6,137255,174,0,174,default
minimax,6,133619,164,0,164,default
minimax,6,103977,126,0,126,default
minimax,6,126684,153.10000002384186,0,153.10000002384186,default
minimax,6,98162,118.60000002384186,0,118.60000002384186,default
minimax,6,42113,51.40000009536743,0,51.40000009536743,default
minimax,6,41049,50.200000047683716,0,50.200000047683716,default
minimax,6,17913,22.399999976158142,0,22.399999976158142,default
minimax,6,18262,22.700000047683716,0,22.700000047683716,default
minimax,6,15717,20.5,0,20.5,default
minimax,6,8705,11.100000023841858,0,11.100000023841858,default
alphabeta,4,532,0.8999999761581421,0,0.8999999761581421,default
alphabeta,4,632,1.2000000476837158,0,1.2000000476837158,default
alphabeta,4,546,0.7999999523162842,0,0.7999999523162842,default
alphabeta,4,827,1,0,1,default
alphabeta,4,199,0.3999999761581421,0,0.3999999761581421,default
alphabeta,4,532,0.7999999523162842,0,0.7999999523162842,default
alphabeta,4,531,0.6999999284744263,0,0.6999999284744263,default
alphabeta,4,461,0.9000000953674316,0,0.9000000953674316,default
alphabeta,4,426,0.8999999761581421,0,0.8999999761581421,default
alphabeta,4,425,0.6000000238418579,0,0.6000000238418579,default
alphabeta,4,357,0.6000000238418579,0,0.6000000238418579,default
alphabeta,4,212,0.30000007152557373,0,0.30000007152557373,default
alphabeta,4,220,0.3999999761581421,0,0.3999999761581421,default
alphabeta,4,226,0.3999999761581421,0,0.3999999761581421,default
alphabeta,4,117,0.20000004768371582,0,0.20000004768371582,default
alphabeta,4,117,0.20000004768371582,0,0.20000004768371582,default
alphabeta,6,4251,6.5,0,6.5,default
alphabeta,6,4091,5.699999928474426,0,5.699999928474426,default
alphabeta,6,3093,4.200000047683716,0,4.200000047683716,default
alphabeta,6,2983,4.100000023841858,0,4.100000023841858,default
alphabeta,6,2745,4.099999904632568,0,4.099999904632568,default
alphabeta,6,2976,4.299999952316284,0,4.299999952316284,default
alphabeta,6,1993,2.700000047683716,0,2.700000047683716,default
alphabeta,6,851,1,0,1,default
alphabeta,6,1099,1.399999976158142,0,1.399999976158142,default
alphabeta,6,600,0.8000000715255737,0,0.8000000715255737,default
alphabeta,6,160,0.2999999523162842,0,0.2999999523162842,default
alphabeta,6,162,0.20000004768371582,0,0.20000004768371582,default
alphabeta,6,149,0.30000007152557373,0,0.30000007152557373,default
expectiminimax,4,2800,4.200000047683716,0,4.200000047683716,default
expectiminimax,4,2799,3.9000000953674316,0,3.9000000953674316,default
expectiminimax,4,2539,3.399999976158142,0,3.399999976158142,default
